sku_code,available_qty,reserved_qty,defective_qty,pending_return_qty,safety_stock,reorder_point,last_updated
NQ-TOP-STR-001-S-BLK,11709,0,0,13,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-001-S-WHT,11853,0,0,14,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-001-M-BLK,12238,0,0,8,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-001-M-WHT,11728,0,0,19,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-001-L-BLK,9325,0,0,8,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-001-L-WHT,9419,0,0,20,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-S-BLK,11735,0,0,12,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-S-WHT,11869,0,0,16,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-M-BLK,11804,0,0,18,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-M-WHT,11587,0,0,10,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-L-BLK,9348,0,0,14,2839,5679,2026-08-09T00:00:00
NQ-TOP-WAV-002-L-WHT,9314,0,0,13,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-S-BLK,11803,0,0,15,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-S-WHT,11787,0,0,18,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-M-BLK,10864,0,0,15,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-M-WHT,11582,0,0,12,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-L-BLK,9189,0,0,11,2839,5679,2026-08-09T00:00:00
NQ-TOP-NAT-003-L-WHT,9340,0,0,6,2839,5679,2026-08-09T00:00:00
NQ-TOP-STR-004-S-BLK,4073,0,0,2,946,1893,2026-08-09T00:00:00
NQ-TOP-STR-004-S-WHT,3893,0,0,2,946,1893,2026-08-09T00:00:00
NQ-TOP-STR-004-M-BLK,3827,0,0,6,946,1893,2026-08-09T00:00:00
NQ-TOP-STR-004-M-WHT,3837,0,0,6,946,1893,2026-08-09T00:00:00
NQ-TOP-STR-004-L-BLK,3087,0,0,4,946,1893,2026-08-09T00:00:00
NQ-TOP-STR-004-L-WHT,3139,0,0,3,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-S-BLK,3970,0,0,5,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-S-WHT,4079,0,0,5,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-M-BLK,3876,0,0,3,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-M-WHT,3944,0,0,4,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-L-BLK,3165,0,0,4,946,1893,2026-08-09T00:00:00
NQ-TOP-WAV-005-L-WHT,3048,0,0,3,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-S-BLK,4138,0,0,6,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-S-WHT,4166,0,0,5,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-M-BLK,3715,0,0,3,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-M-WHT,3633,0,0,7,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-L-BLK,3828,0,0,5,946,1893,2026-08-09T00:00:00
NQ-TOP-NAT-006-L-WHT,3078,0,0,5,946,1893,2026-08-09T00:00:00
