month,order_count,revenue,revenue_억
2024-03,14871,914610000,9.15
2024-04,8465,518659000,5.19
2024-05,8746,532687000,5.33
2024-06,9230,561033000,5.61
2024-07,12364,757146000,7.57
2024-08,13696,831226000,8.31
2024-09,11851,726435000,7.26
2024-10,12246,755360000,7.55
2024-11,20818,1289298000,12.89
2024-12,18956,1176215000,11.76
2025-01,17929,1114102000,11.14
2025-02,11238,697981000,6.98
2025-03,43084,4246732000,42.47
2025-04,24785,2309960000,23.1
2025-05,25787,2232196000,22.32
2025-06,26305,2250841000,22.51
2025-07,35882,3072427000,30.72
2025-08,40834,3499276000,34.99
2025-09,34441,2946786000,29.47
2025-10,35361,3200597000,32.01
2025-11,61316,5976354000,59.76
2025-12,54809,5521193000,55.21
2026-01,53090,5409534000,54.1
2026-02,32561,3258656000,32.59
2026-03,117445,11011129000,110.11
2026-04,67243,5924777000,59.25
2026-05,71220,5933489000,59.33
2026-06,67456,5769836450,57.7
2026-07,92943,7833936850,78.34
2026-08,53831,4480992000,44.81
