order_id,customer_id,channel_id,store_id,order_date,status,total_amount
ORD-000000439,CUST-000000318,ZIGZAG,,2024-03-01T08:00:00,구매확정,49000
ORD-000000220,CUST-000000158,ZIGZAG,,2024-03-01T08:01:00,구매확정,39000
ORD-000000497,CUST-000000102,ZIGZAG,,2024-03-01T08:02:00,구매확정,49000
ORD-000000293,CUST-000000208,ZIGZAG,,2024-03-01T08:04:00,구매확정,39000
ORD-000000165,CUST-000000120,ZIGZAG,,2024-03-01T08:05:00,구매확정,123000
ORD-000000115,CUST-000000082,ZIGZAG,,2024-03-01T08:11:00,구매확정,98000
ORD-000000330,CUST-000000236,ZIGZAG,,2024-03-01T08:11:00,구매확정,74000
ORD-000000443,CUST-000000222,ZIGZAG,,2024-03-01T08:11:00,구매확정,74000
ORD-000000533,CUST-000000019,ZIGZAG,,2024-03-01T08:19:00,구매확정,35000
ORD-000000304,CUST-000000217,ZIGZAG,,2024-03-01T08:21:00,구매확정,39000
ORD-000000134,CUST-000000097,ZIGZAG,,2024-03-01T08:23:00,구매확정,35000
ORD-000000121,CUST-000000072,ZIGZAG,,2024-03-01T08:29:00,구매확정,74000
ORD-000000601,CUST-000000434,ZIGZAG,,2024-03-01T08:29:00,구매확정,39000
ORD-000000334,CUST-000000240,ZIGZAG,,2024-03-01T08:30:00,구매확정,74000
ORD-000000591,CUST-000000380,ZIGZAG,,2024-03-01T08:31:00,구매확정,49000
ORD-000000002,CUST-000000002,ZIGZAG,,2024-03-01T08:35:00,구매확정,39000
ORD-000000065,CUST-000000047,ZIGZAG,,2024-03-01T08:36:00,구매확정,35000
ORD-000000419,CUST-000000279,ZIGZAG,,2024-03-01T08:36:00,구매확정,39000
ORD-000000176,CUST-000000128,ZIGZAG,,2024-03-01T08:38:00,구매확정,84000
ORD-000000268,CUST-000000192,ZIGZAG,,2024-03-01T08:39:00,구매확정,74000
ORD-000000064,CUST-000000046,ZIGZAG,,2024-03-01T08:45:00,구매확정,127000
ORD-000000302,CUST-000000061,ZIGZAG,,2024-03-01T08:45:00,구매확정,35000
ORD-000000199,CUST-000000148,ZIGZAG,,2024-03-01T08:47:00,구매확정,39000
ORD-000000003,CUST-000000003,ZIGZAG,,2024-03-01T08:48:00,구매확정,49000
ORD-000000365,CUST-000000260,ZIGZAG,,2024-03-01T08:52:00,구매확정,49000
ORD-000000049,CUST-000000034,ZIGZAG,,2024-03-01T08:54:00,구매확정,35000
ORD-000000261,CUST-000000132,ZIGZAG,,2024-03-01T08:55:00,구매확정,70000
ORD-000000411,CUST-000000086,ZIGZAG,,2024-03-01T08:56:00,구매확정,39000
ORD-000000475,CUST-000000335,ZIGZAG,,2024-03-01T08:59:00,구매확정,39000
ORD-000000549,CUST-000000005,ZIGZAG,,2024-03-01T09:00:00,구매확정,84000
ORD-000000467,CUST-000000332,ZIGZAG,,2024-03-01T09:03:00,구매확정,39000
ORD-000000521,CUST-000000376,ZIGZAG,,2024-03-01T09:06:00,구매확정,39000
ORD-000000604,CUST-000000436,ZIGZAG,,2024-03-01T09:07:00,구매확정,35000
ORD-000000205,CUST-000000012,ZIGZAG,,2024-03-01T09:08:00,구매확정,39000
ORD-000000537,CUST-000000388,ZIGZAG,,2024-03-01T09:08:00,구매확정,123000
ORD-000000584,CUST-000000190,ZIGZAG,,2024-03-01T09:08:00,구매확정,49000
ORD-000000066,CUST-000000048,ZIGZAG,,2024-03-01T09:09:00,구매확정,113000
ORD-000000225,CUST-000000160,ZIGZAG,,2024-03-01T09:11:00,구매확정,39000
ORD-000000578,CUST-000000419,ZIGZAG,,2024-03-01T09:12:00,구매확정,84000
ORD-000000224,CUST-000000112,ZIGZAG,,2024-03-01T09:14:00,구매확정,84000
ORD-000000494,CUST-000000353,ZIGZAG,,2024-03-01T09:16:00,구매확정,70000
ORD-000000461,CUST-000000330,ZIGZAG,,2024-03-01T09:17:00,구매확정,35000
ORD-000000031,CUST-000000003,ZIGZAG,,2024-03-01T09:19:00,구매확정,113000
