category_code,popularity_tier,style_name,sku_count,sold_units,avg_per_sku
ACC,STEADY,BAG 액세서리,4,12570,3142.5
ACC,NICHE,BLT 액세서리,4,3847,961.8
ACC,NICHE,PCH 액세서리,4,3804,951.0
ACC,NICHE,SCF 액세서리,4,3777,944.3
ACC,NICHE,CAP 액세서리,4,3652,913.0
CLR,HERO,COOL 퍼스널컬러 베이직 탑,9,77959,8662.1
CLR,HERO,MUT 퍼스널컬러 베이직 탑,9,77954,8661.6
CLR,HERO,WRM 퍼스널컬러 베이직 탑,9,77821,8646.8
CLR,STEADY,COOL 퍼스널컬러 니트 가디건,9,26283,2920.3
CLR,STEADY,WRM 퍼스널컬러 니트 가디건,9,25929,2881.0
CLR,STEADY,MUT 퍼스널컬러 니트 가디건,9,25877,2875.2
DRS,HERO,WAV 체형핏 원피스,6,26066,4344.3
DRS,HERO,NAT 체형핏 원피스,6,25588,4264.7
DRS,HERO,STR 체형핏 원피스,6,25571,4261.8
DRS,STEADY,NAT 니트 원피스,6,8796,1466.0
DRS,STEADY,WAV 니트 원피스,6,8756,1459.3
DRS,STEADY,STR 니트 원피스,6,8623,1437.2
OUT,HERO,STR 드롭숄더 아우터,12,115272,9606.0
OUT,HERO,NAT 드롭숄더 아우터,12,114267,9522.3
OUT,HERO,WAV 드롭숄더 아우터,12,113558,9463.2
OUT,STEADY,STR 롱 트렌치코트,12,38503,3208.6
OUT,STEADY,NAT 롱 트렌치코트,12,38300,3191.7
OUT,STEADY,WAV 롱 트렌치코트,12,38261,3188.4
OUT,NICHE,WAV 숏패딩,12,11592,966.0
OUT,NICHE,NAT 숏패딩,12,11374,947.8
OUT,NICHE,STR 숏패딩,12,11343,945.3
PNT,HERO,PLT 5-Length 슬랙스,15,86009,5733.9
PNT,HERO,5LT 5-Length 슬랙스,15,85199,5679.9
PNT,STEADY,PLT 핀턱 와이드,15,28613,1907.5
PNT,STEADY,PLT 테이퍼드 데님,15,28498,1899.9
PNT,STEADY,5LT 테이퍼드 데님,15,28409,1893.9
PNT,STEADY,5LT 핀턱 와이드,15,28212,1880.8
PNT,NICHE,5LT 조거 팬츠,15,8708,580.5
PNT,NICHE,PLT 조거 팬츠,15,8534,568.9
TOP,HERO,NAT 스퀘어라인 기본티,6,58043,9673.8
TOP,HERO,WAV 스퀘어라인 기본티,6,57826,9637.7
TOP,HERO,STR 스퀘어라인 기본티,6,57500,9583.3
TOP,STEADY,STR 포켓 셔츠,6,19391,3231.8
TOP,STEADY,WAV 포켓 셔츠,6,19369,3228.2
TOP,STEADY,NAT 포켓 셔츠,6,19337,3222.8
TOP,STEADY,STR 브이넥 니트,6,19181,3196.8
TOP,STEADY,WAV 브이넥 니트,6,19123,3187.2
TOP,STEADY,NAT 브이넥 니트,6,18952,3158.7
TOP,NICHE,NAT 오버사이즈 맨투맨,6,5874,979.0
TOP,NICHE,WAV 오버사이즈 맨투맨,6,5865,977.5
TOP,NICHE,WAV 집업 후드,6,5814,969.0
TOP,NICHE,STR 오버사이즈 맨투맨,6,5738,956.3
TOP,NICHE,STR 집업 후드,6,5726,954.3
TOP,NICHE,NAT 집업 후드,6,5690,948.3
