return_id,order_id,sku_code,reason_code,status,request_date,resolution
RET-000000076,ORD-000000333,NQ-CLR-MUT-003-S-CRM,R01,완료,2024-03-07,교환
RET-000000089,ORD-000000375,NQ-TOP-WAV-011-L-WHT,R01,완료,2024-03-07,환불
RET-000000096,ORD-000000427,NQ-PNT-5LT-005-M-GRY,R01,완료,2024-03-07,환불
RET-000000114,ORD-000000537,NQ-CLR-COOL-002-M-IVR,R01,완료,2024-03-07,교환
RET-000000147,ORD-000000711,NQ-PNT-PLT-006-S-BLK,R01,완료,2024-03-07,환불
RET-000000166,ORD-000000821,NQ-PNT-PLT-006-L-BLK,R01,완료,2024-03-07,교환
RET-000000171,ORD-000000847,NQ-PNT-PLT-002-S-BEG,R02,완료,2024-03-07,교환
RET-000000186,ORD-000000927,NQ-TOP-NAT-003-M-WHT,R02,완료,2024-03-07,교환
RET-000000201,ORD-000000983,NQ-TOP-NAT-003-S-WHT,R01,완료,2024-03-07,교환
RET-000000204,ORD-000000991,NQ-PNT-5LT-007-L-GRY,R03,완료,2024-03-07,교환
RET-000000034,ORD-000000155,NQ-PNT-5LT-001-M-GRY,R01,완료,2024-03-08,환불
RET-000000048,ORD-000000218,NQ-CLR-MUT-003-L-IVR,R04,완료,2024-03-08,환불
RET-000000060,ORD-000000275,NQ-PNT-5LT-001-L-GRY,R02,완료,2024-03-08,교환
RET-000000071,ORD-000000317,NQ-PNT-PLT-004-S-BLK,R01,완료,2024-03-08,환불
RET-000000073,ORD-000000323,NQ-TOP-NAT-003-M-WHT,R04,완료,2024-03-08,교환
RET-000000101,ORD-000000473,NQ-TOP-WAV-005-S-WHT,R01,완료,2024-03-08,환불
RET-000000119,ORD-000000560,NQ-PNT-5LT-007-XL-BEG,R04,완료,2024-03-08,교환
RET-000000121,ORD-000000570,NQ-PNT-PLT-002-S-BLK,R01,완료,2024-03-08,교환
RET-000000151,ORD-000000728,NQ-PNT-5LT-001-S-BEG,R03,완료,2024-03-08,환불
RET-000000161,ORD-000000775,NQ-PNT-5LT-005-L-BEG,R01,완료,2024-03-08,교환
RET-000000181,ORD-000000901,NQ-PNT-PLT-002-S-BEG,R01,완료,2024-03-08,교환
RET-000000187,ORD-000000930,NQ-PNT-PLT-002-M-BEG,R01,완료,2024-03-08,교환
RET-000000205,ORD-000000999,NQ-TOP-WAV-002-M-WHT,R01,완료,2024-03-08,환불
RET-000000215,ORD-000001027,NQ-CLR-WRM-001-S-CRM,R01,완료,2024-03-08,환불
RET-000000226,ORD-000001059,NQ-CLR-COOL-002-M-CRM,R01,완료,2024-03-08,교환
RET-000000246,ORD-000001208,NQ-TOP-NAT-006-S-WHT,R01,완료,2024-03-08,환불
RET-000000363,ORD-000001763,NQ-TOP-WAV-005-M-WHT,R01,완료,2024-03-08,환불
RET-000000373,ORD-000001806,NQ-TOP-WAV-008-S-WHT,R01,완료,2024-03-08,교환
RET-000000376,ORD-000001811,NQ-PNT-PLT-004-L-BLK,R03,완료,2024-03-08,교환
RET-000000386,ORD-000001854,NQ-PNT-PLT-002-S-GRY,R01,완료,2024-03-08,환불
RET-000000389,ORD-000001864,NQ-PNT-PLT-002-L-BEG,R01,완료,2024-03-08,교환
RET-000000396,ORD-000001880,NQ-PNT-PLT-006-M-BEG,R03,완료,2024-03-08,교환
RET-000000399,ORD-000001891,NQ-TOP-NAT-006-L-WHT,R04,완료,2024-03-08,환불
RET-000000406,ORD-000001918,NQ-PNT-PLT-006-L-BEG,R03,완료,2024-03-08,환불
RET-000000414,ORD-000001935,NQ-TOP-STR-001-M-BLK,R01,완료,2024-03-08,교환
RET-000000425,ORD-000001985,NQ-TOP-WAV-002-S-WHT,R04,완료,2024-03-08,환불
RET-000000455,ORD-000002080,NQ-TOP-NAT-006-L-WHT,R01,완료,2024-03-08,교환
RET-000000523,ORD-000002349,NQ-TOP-WAV-005-S-BLK,R01,완료,2024-03-08,환불
RET-000000529,ORD-000002375,NQ-TOP-NAT-006-L-BLK,R01,완료,2024-03-08,교환
RET-000000016,ORD-000000067,NQ-PNT-5LT-001-M-BEG,R04,완료,2024-03-09,교환
RET-000000018,ORD-000000088,NQ-PNT-PLT-006-M-BLK,R03,완료,2024-03-09,환불
RET-000000040,ORD-000000170,NQ-CLR-MUT-003-S-CRM,R01,완료,2024-03-09,환불
RET-000000072,ORD-000000320,NQ-PNT-PLT-002-S-BEG,R01,완료,2024-03-09,교환
RET-000000074,ORD-000000325,NQ-TOP-NAT-003-M-WHT,R03,완료,2024-03-09,환불
RET-000000085,ORD-000000351,NQ-TOP-WAV-014-M-WHT,R02,완료,2024-03-09,환불
RET-000000097,ORD-000000450,NQ-PNT-PLT-002-XS-GRY,R01,완료,2024-03-09,환불
RET-000000125,ORD-000000581,NQ-PNT-PLT-006-XL-BEG,R01,완료,2024-03-09,교환
RET-000000142,ORD-000000696,NQ-PNT-PLT-004-M-GRY,R01,완료,2024-03-09,교환
RET-000000175,ORD-000000874,NQ-PNT-5LT-005-S-BEG,R03,완료,2024-03-09,환불
RET-000000189,ORD-000000942,NQ-TOP-WAV-002-S-WHT,R01,완료,2024-03-09,환불
RET-000000191,ORD-000000950,NQ-PNT-PLT-004-M-BEG,R04,완료,2024-03-09,교환
RET-000000221,ORD-000001045,NQ-TOP-WAV-002-S-WHT,R01,완료,2024-03-09,교환
RET-000000228,ORD-000001070,NQ-PNT-5LT-003-L-GRY,R01,완료,2024-03-09,교환
RET-000000243,ORD-000001190,NQ-PNT-PLT-002-M-GRY,R03,완료,2024-03-09,교환
RET-000000271,ORD-000001327,NQ-TOP-NAT-003-M-BLK,R01,완료,2024-03-09,교환
RET-000000276,ORD-000001347,NQ-PNT-5LT-003-M-GRY,R01,완료,2024-03-09,환불
RET-000000285,ORD-000001400,NQ-TOP-WAV-005-S-WHT,R03,완료,2024-03-09,교환
RET-000000287,ORD-000001423,NQ-PNT-PLT-002-L-GRY,R03,완료,2024-03-09,환불
RET-000000298,ORD-000001497,NQ-CLR-COOL-002-S-IVR,R01,완료,2024-03-09,교환
RET-000000304,ORD-000001509,NQ-TOP-STR-001-L-BLK,R01,완료,2024-03-09,환불
RET-000000311,ORD-000001534,NQ-PNT-PLT-004-S-BEG,R03,완료,2024-03-09,교환
RET-000000313,ORD-000001550,NQ-PNT-PLT-002-M-GRY,R01,완료,2024-03-09,교환
RET-000000315,ORD-000001552,NQ-CLR-COOL-002-L-ASH,R02,완료,2024-03-09,교환
RET-000000352,ORD-000001700,NQ-PNT-PLT-002-M-GRY,R03,완료,2024-03-09,환불
RET-000000372,ORD-000001806,NQ-PNT-5LT-001-M-GRY,R01,완료,2024-03-09,교환
RET-000000429,ORD-000001992,NQ-CLR-MUT-003-S-ASH,R03,완료,2024-03-09,교환
RET-000000434,ORD-000002011,NQ-CLR-MUT-003-S-ASH,R03,완료,2024-03-09,교환
RET-000000437,ORD-000002016,NQ-PNT-PLT-002-M-BEG,R01,완료,2024-03-09,교환
RET-000000459,ORD-000002106,NQ-TOP-WAV-002-M-BLK,R01,완료,2024-03-09,교환
RET-000000525,ORD-000002364,NQ-TOP-WAV-008-S-WHT,R01,완료,2024-03-09,교환
RET-000000536,ORD-000002395,NQ-PNT-PLT-008-S-BLK,R02,완료,2024-03-09,교환
RET-000000545,ORD-000002440,NQ-PNT-PLT-004-L-BEG,R04,완료,2024-03-09,교환
RET-000000611,ORD-000002704,NQ-CLR-WRM-001-L-ASH,R01,완료,2024-03-09,교환
RET-000000622,ORD-000002762,NQ-PNT-PLT-006-M-GRY,R01,완료,2024-03-09,환불
RET-000000645,ORD-000002854,NQ-PNT-PLT-006-M-BEG,R03,완료,2024-03-09,교환
RET-000000657,ORD-000002904,NQ-PNT-5LT-005-S-GRY,R03,완료,2024-03-09,환불
RET-000000030,ORD-000000132,NQ-TOP-WAV-002-S-WHT,R04,완료,2024-03-10,교환
RET-000000053,ORD-000000250,NQ-PNT-5LT-005-XL-BEG,R02,완료,2024-03-10,교환
RET-000000063,ORD-000000286,NQ-PNT-5LT-007-L-GRY,R03,완료,2024-03-10,교환
RET-000000081,ORD-000000343,NQ-TOP-NAT-003-S-BLK,R01,완료,2024-03-10,교환
RET-000000111,ORD-000000527,NQ-TOP-WAV-005-M-WHT,R01,완료,2024-03-10,환불
RET-000000132,ORD-000000639,NQ-PNT-5LT-005-M-BLK,R03,완료,2024-03-10,환불
RET-000000162,ORD-000000777,NQ-PNT-5LT-001-S-BEG,R01,완료,2024-03-10,환불
RET-000000180,ORD-000000899,NQ-PNT-5LT-001-M-BLK,R04,완료,2024-03-10,교환
RET-000000209,ORD-000001008,NQ-CLR-COOL-005-M-ASH,R01,완료,2024-03-10,환불
RET-000000232,ORD-000001097,NQ-PNT-PLT-008-L-BEG,R04,완료,2024-03-10,환불
RET-000000260,ORD-000001264,NQ-PNT-5LT-005-M-GRY,R03,완료,2024-03-10,교환
RET-000000288,ORD-000001433,NQ-CLR-COOL-002-S-CRM,R02,완료,2024-03-10,교환
RET-000000289,ORD-000001448,NQ-PNT-PLT-004-XS-GRY,R01,완료,2024-03-10,환불
RET-000000308,ORD-000001516,NQ-CLR-WRM-001-S-ASH,R01,완료,2024-03-10,교환
