sku_code,product_id,size,color_code,price,cost
NQ-TOP-STR-001-S-BLK,NQ-TOP-STR-001,S,BLK,39000,18720
NQ-TOP-STR-001-S-WHT,NQ-TOP-STR-001,S,WHT,39000,18720
NQ-TOP-STR-001-M-BLK,NQ-TOP-STR-001,M,BLK,39000,18720
NQ-TOP-STR-001-M-WHT,NQ-TOP-STR-001,M,WHT,39000,18720
NQ-TOP-STR-001-L-BLK,NQ-TOP-STR-001,L,BLK,39000,18720
NQ-TOP-STR-001-L-WHT,NQ-TOP-STR-001,L,WHT,39000,18720
NQ-TOP-WAV-002-S-BLK,NQ-TOP-WAV-002,S,BLK,39000,18720
NQ-TOP-WAV-002-S-WHT,NQ-TOP-WAV-002,S,WHT,39000,18720
NQ-TOP-WAV-002-M-BLK,NQ-TOP-WAV-002,M,BLK,39000,18720
NQ-TOP-WAV-002-M-WHT,NQ-TOP-WAV-002,M,WHT,39000,18720
NQ-TOP-WAV-002-L-BLK,NQ-TOP-WAV-002,L,BLK,39000,18720
NQ-TOP-WAV-002-L-WHT,NQ-TOP-WAV-002,L,WHT,39000,18720
NQ-TOP-NAT-003-S-BLK,NQ-TOP-NAT-003,S,BLK,39000,18720
NQ-TOP-NAT-003-S-WHT,NQ-TOP-NAT-003,S,WHT,39000,18720
NQ-TOP-NAT-003-M-BLK,NQ-TOP-NAT-003,M,BLK,39000,18720
NQ-TOP-NAT-003-M-WHT,NQ-TOP-NAT-003,M,WHT,39000,18720
NQ-TOP-NAT-003-L-BLK,NQ-TOP-NAT-003,L,BLK,39000,18720
NQ-TOP-NAT-003-L-WHT,NQ-TOP-NAT-003,L,WHT,39000,18720
NQ-TOP-STR-004-S-BLK,NQ-TOP-STR-004,S,BLK,39000,18720
NQ-TOP-STR-004-S-WHT,NQ-TOP-STR-004,S,WHT,39000,18720
NQ-TOP-STR-004-M-BLK,NQ-TOP-STR-004,M,BLK,39000,18720
NQ-TOP-STR-004-M-WHT,NQ-TOP-STR-004,M,WHT,39000,18720
NQ-TOP-STR-004-L-BLK,NQ-TOP-STR-004,L,BLK,39000,18720
NQ-TOP-STR-004-L-WHT,NQ-TOP-STR-004,L,WHT,39000,18720
NQ-TOP-WAV-005-S-BLK,NQ-TOP-WAV-005,S,BLK,39000,18720
NQ-TOP-WAV-005-S-WHT,NQ-TOP-WAV-005,S,WHT,39000,18720
NQ-TOP-WAV-005-M-BLK,NQ-TOP-WAV-005,M,BLK,39000,18720
NQ-TOP-WAV-005-M-WHT,NQ-TOP-WAV-005,M,WHT,39000,18720
NQ-TOP-WAV-005-L-BLK,NQ-TOP-WAV-005,L,BLK,39000,18720
NQ-TOP-WAV-005-L-WHT,NQ-TOP-WAV-005,L,WHT,39000,18720
NQ-TOP-NAT-006-S-BLK,NQ-TOP-NAT-006,S,BLK,39000,18720
NQ-TOP-NAT-006-S-WHT,NQ-TOP-NAT-006,S,WHT,39000,18720
NQ-TOP-NAT-006-M-BLK,NQ-TOP-NAT-006,M,BLK,39000,18720
NQ-TOP-NAT-006-M-WHT,NQ-TOP-NAT-006,M,WHT,39000,18720
NQ-TOP-NAT-006-L-BLK,NQ-TOP-NAT-006,L,BLK,39000,18720
NQ-TOP-NAT-006-L-WHT,NQ-TOP-NAT-006,L,WHT,39000,18720
NQ-TOP-STR-007-S-BLK,NQ-TOP-STR-007,S,BLK,39000,18720
NQ-TOP-STR-007-S-WHT,NQ-TOP-STR-007,S,WHT,39000,18720
NQ-TOP-STR-007-M-BLK,NQ-TOP-STR-007,M,BLK,39000,18720
NQ-TOP-STR-007-M-WHT,NQ-TOP-STR-007,M,WHT,39000,18720
NQ-TOP-STR-007-L-BLK,NQ-TOP-STR-007,L,BLK,39000,18720
NQ-TOP-STR-007-L-WHT,NQ-TOP-STR-007,L,WHT,39000,18720
NQ-TOP-WAV-008-S-BLK,NQ-TOP-WAV-008,S,BLK,39000,18720
NQ-TOP-WAV-008-S-WHT,NQ-TOP-WAV-008,S,WHT,39000,18720
NQ-TOP-WAV-008-M-BLK,NQ-TOP-WAV-008,M,BLK,39000,18720
NQ-TOP-WAV-008-M-WHT,NQ-TOP-WAV-008,M,WHT,39000,18720
NQ-TOP-WAV-008-L-BLK,NQ-TOP-WAV-008,L,BLK,39000,18720
NQ-TOP-WAV-008-L-WHT,NQ-TOP-WAV-008,L,WHT,39000,18720
NQ-TOP-NAT-009-S-BLK,NQ-TOP-NAT-009,S,BLK,39000,18720
NQ-TOP-NAT-009-S-WHT,NQ-TOP-NAT-009,S,WHT,39000,18720
NQ-TOP-NAT-009-M-BLK,NQ-TOP-NAT-009,M,BLK,39000,18720
NQ-TOP-NAT-009-M-WHT,NQ-TOP-NAT-009,M,WHT,39000,18720
NQ-TOP-NAT-009-L-BLK,NQ-TOP-NAT-009,L,BLK,39000,18720
NQ-TOP-NAT-009-L-WHT,NQ-TOP-NAT-009,L,WHT,39000,18720
NQ-TOP-STR-010-S-BLK,NQ-TOP-STR-010,S,BLK,39000,18720
NQ-TOP-STR-010-S-WHT,NQ-TOP-STR-010,S,WHT,39000,18720
NQ-TOP-STR-010-M-BLK,NQ-TOP-STR-010,M,BLK,39000,18720
NQ-TOP-STR-010-M-WHT,NQ-TOP-STR-010,M,WHT,39000,18720
NQ-TOP-STR-010-L-BLK,NQ-TOP-STR-010,L,BLK,39000,18720
NQ-TOP-STR-010-L-WHT,NQ-TOP-STR-010,L,WHT,39000,18720
NQ-TOP-WAV-011-S-BLK,NQ-TOP-WAV-011,S,BLK,39000,18720
NQ-TOP-WAV-011-S-WHT,NQ-TOP-WAV-011,S,WHT,39000,18720
NQ-TOP-WAV-011-M-BLK,NQ-TOP-WAV-011,M,BLK,39000,18720
NQ-TOP-WAV-011-M-WHT,NQ-TOP-WAV-011,M,WHT,39000,18720
NQ-TOP-WAV-011-L-BLK,NQ-TOP-WAV-011,L,BLK,39000,18720
NQ-TOP-WAV-011-L-WHT,NQ-TOP-WAV-011,L,WHT,39000,18720
NQ-TOP-NAT-012-S-BLK,NQ-TOP-NAT-012,S,BLK,39000,18720
NQ-TOP-NAT-012-S-WHT,NQ-TOP-NAT-012,S,WHT,39000,18720
NQ-TOP-NAT-012-M-BLK,NQ-TOP-NAT-012,M,BLK,39000,18720
NQ-TOP-NAT-012-M-WHT,NQ-TOP-NAT-012,M,WHT,39000,18720
NQ-TOP-NAT-012-L-BLK,NQ-TOP-NAT-012,L,BLK,39000,18720
NQ-TOP-NAT-012-L-WHT,NQ-TOP-NAT-012,L,WHT,39000,18720
NQ-TOP-STR-013-S-BLK,NQ-TOP-STR-013,S,BLK,39000,18720
NQ-TOP-STR-013-S-WHT,NQ-TOP-STR-013,S,WHT,39000,18720
NQ-TOP-STR-013-M-BLK,NQ-TOP-STR-013,M,BLK,39000,18720
